iter	Passed	Remaining
455	631	20151
456	633	20148
457	634	20147
458	635	20141
459	637	20136
460	638	20135
461	639	20132
462	641	20126
463	642	20121
464	643	20116
465	644	20114
466	646	20110
467	647	20106
468	648	20099
469	650	20095
470	651	20092
471	652	20091
472	654	20087
473	655	20084
474	656	20074
475	657	20073
476	659	20070
477	660	20065
478	661	20062
479	663	20059
480	664	20055
481	665	20051
482	666	20044
483	668	20044
484	669	20038
485	670	20034
486	672	20033
487	673	20034
488	674	20027
489	676	20027
490	677	20028
491	679	20029
492	680	20026
493	681	20022
494	683	20022
495	684	20026
496	686	20024
497	687	20021
498	688	20022
499	690	20021
500	691	20015
501	693	20014
502	694	20008
503	695	20009
504	697	20006
505	698	20008
506	699	20006
507	701	20006
508	702	20002
509	704	20003
510	705	20008
511	707	20006
512	708	20003
513	709	20003
514	711	20001
515	712	20004
516	713	20000
517	715	19998
518	716	19995
519	718	19995
520	719	19991
521	720	19989
522	721	19981
523	723	19980
524	724	19975
525	725	19972
526	727	19968
527	728	19968
528	729	19968
529	731	19969
530	732	19967
531	734	19970
532	735	19970
533	737	19968
534	738	19966
535	739	19962
536	740	19955
537	742	19954
538	743	19949
539	744	19948
540	746	19941
541	747	19942
542	749	19945
543	750	19949
544	752	19946
545	753	19947
546	754	19945
547	756	19945
548	757	19940
549	759	19942
550	760	19944
551	762	19948
552	763	19957
553	765	19956
554	766	19952
555	768	19956
556	769	19956
557	771	19956
558	772	19953
559	773	19954
560	775	19950
561	776	19947
562	777	19946
563	779	19944
564	780	19940
565	782	19942
566	783	19940
567	784	19942
568	786	19939
569	787	19940
570	789	19937
571	790	19939
572	791	19933
573	793	19933
574	794	19930
575	795	19927
576	797	19926
577	798	19923
578	799	19924
579	801	19922
580	802	19924
581	804	19922
582	805	19920
583	807	19921
584	808	19926
585	809	19922
586	811	19923
587	812	19922
588	814	19923
589	815	19920
590	817	19919
591	818	19915
592	819	19915
593	821	19915
594	822	19916
595	823	19910
596	825	19908
597	826	19904
598	827	19903
599	829	19898
600	830	19897
601	831	19895
602	833	19891
603	834	19887
604	835	19885
605	836	19879
606	838	19880
607	839	19877
608	841	19876
609	842	19872
610	843	19873
611	845	19871
612	846	19870
613	847	19866
614	849	19867
615	850	19863
616	852	19865
617	853	19863
618	854	19863
619	856	19858
620	868	20101
621	869	20096
622	870	20094
623	871	20089
624	873	20088
625	874	20083
626	876	20083
627	877	20080
628	878	20077
629	880	20072
630	881	20072
631	882	20072
632	884	20068
633	885	20063
634	886	20063
635	888	20058
636	889	20056
637	890	20052
638	892	20052
639	893	20046
640	894	20042
641	896	20039
642	897	20037
643	898	20032
644	899	20029
645	901	20024
646	902	20020
647	903	20014
648	905	20012
649	906	20008
650	907	20008
651	908	20001
652	910	19999
653	911	19996
654	929	20345
655	930	20344
656	932	20348
657	933	20343
658	934	20340
659	936	20339
660	937	20338
661	938	20337
662	940	20336
663	941	20334
664	943	20331
665	944	20326
666	945	20322
667	947	20320
668	948	20316
669	949	20310
670	950	20307
671	952	20300
672	953	20302
673	954	20297
674	956	20293
675	957	20287
676	958	20286
677	960	20282
678	961	20277
679	962	20271
680	963	20269
681	965	20264
682	966	20259
683	967	20253
684	969	20250
685	970	20244
686	971	20240
687	972	20236
688	974	20232
689	975	20228
690	976	20225
691	977	20218
692	979	20215
693	980	20209
694	981	20207
695	983	20202
696	984	20199
697	985	20193
698	987	20193
699	988	20189
700	989	20187
701	990	20182
702	992	20177
703	993	20172
704	994	20167
705	995	20160
706	997	20157
707	998	20154
708	999	20152
709	1000	20146
710	1002	20143
711	1003	20137
712	1004	20134
713	1006	20129
714	1007	20126
715	1008	20121
716	1010	20120
717	1011	20115
718	1012	20114
719	1013	20109
720	1015	20107
721	1016	20104
722	1017	20101
723	1019	20097
724	1020	20095
725	1022	20095
726	1023	20091
727	1024	20086
728	1025	20080
729	1027	20079
730	1028	20075
731	1029	20071
732	1031	20071
733	1032	20066
734	1033	20062
735	1034	20056
736	1036	20052
737	1037	20050
738	1038	20047
739	1040	20044
740	1041	20038
741	1042	20034
742	1043	20030
743	1045	20027
744	1046	20023
745	1047	20020
746	1049	20015
747	1050	20013
748	1051	20006
749	1052	20002
750	1054	19998
751	1055	19994
752	1056	19989
753	1057	19985
754	1058	19980
755	1060	19976
756	1061	19971
757	1062	19970
758	1064	19965
759	1065	19961
760	1066	19957
761	1067	19955
762	1069	19949
763	1070	19944
764	1071	19939
765	1072	19936
766	1074	19934
767	1075	19931
768	1076	19927
769	1078	19925
770	1079	19919
771	1080	19916
772	1081	19912
773	1083	19909
774	1084	19904
775	1085	19901
776	1087	19897
777	1088	19895
778	1089	19890
779	1090	19888
780	1092	19884
781	1093	19882
782	1094	19878
783	1096	19875
784	1097	19871
785	1098	19867
786	1099	19862
787	1101	19859
788	1102	19853
789	1103	19850
790	1104	19848
791	1106	19846
792	1107	19842
793	1108	19838
794	1110	19833
795	1111	19830
796	1112	19825
797	1113	19822
798	1115	19819
799	1116	19819
800	1117	19813
801	1119	19809
802	1120	19806
803	1153	20358
804	1154	20355
805	1155	20351
806	1156	20346
807	1158	20343
808	1159	20338
809	1160	20336
810	1162	20330
811	1163	20324
812	1164	20318
813	1165	20315
814	1167	20312
815	1168	20309
816	1169	20305
817	1170	20301
818	1172	20298
819	1173	20294
820	1174	20290
821	1176	20286
822	1177	20284
823	1178	20280
824	1180	20276
825	1181	20273
826	1182	20272
827	1184	20270
828	1185	20268
829	1187	20265
830	1188	20260
831	1189	20257
832	1190	20251
833	1192	20248
834	1193	20244
835	1194	20239
836	1195	20233
837	1197	20230
838	1198	20228
839	1199	20224
840	1200	20219
841	1202	20218
842	1203	20212
843	1204	20209
844	1206	20205
845	1207	20203
846	1208	20200
847	1210	20197
848	1211	20192
849	1212	20186
850	1214	20184
851	1215	20181
852	1216	20180
853	1218	20177
854	1219	20175
855	1220	20171
856	1222	20169
857	1223	20166
858	1225	20166
859	1226	20165
860	1227	20163
861	1229	20161
862	1230	20160
863	1232	20158
864	1233	20153
865	1234	20151
866	1235	20147
867	1237	20144
868	1238	20140
869	1240	20141
870	1241	20141
871	1243	20140
872	1244	20135
873	1245	20132
874	1246	20128
875	1248	20124
876	1249	20121
877	1250	20118
878	1252	20113
879	1253	20110
880	1254	20107
881	1256	20105
882	1257	20100
883	1258	20095
884	1259	20092
885	1261	20089
886	1262	20083
887	1263	20079
888	1264	20075
889	1266	20072
890	1267	20068
891	1268	20065
892	1269	20059
893	1271	20055
894	1272	20051
895	1273	20046
896	1274	20043
897	1276	20040
898	1277	20035
899	1278	20031
900	1279	20026
901	1281	20021
902	1282	20016
903	1283	20012
904	1284	20010
905	1286	20006
906	1287	20003
907	1288	20001
908	1290	19998
909	1291	19996
910	1292	19992
911	1294	19990
912	1295	19987
913	1296	19984
914	1297	19980
915	1299	19977
916	1300	19973
917	1302	19973
918	1303	19971
919	1304	19968
920	1306	19967
921	1307	19964
922	1308	19958
923	1309	19956
924	1311	19952
925	1312	19951
926	1314	19950
927	1315	19949
928	1316	19945
929	1318	19941
930	1319	19935
931	1320	19932
932	1321	19927
933	1323	19924
934	1324	19921
935	1325	19919
936	1326	19915
937	1328	19913
938	1329	19908
939	1330	19907
940	1332	19902
941	1333	19900
942	1334	19895
943	1336	19892
944	1337	19890
945	1338	19888
946	1339	19883
947	1341	19879
948	1342	19875
949	1343	19873
950	1346	19888
951	1347	19887
952	1349	19885
953	1350	19885
954	1352	19885
955	1353	19885
956	1355	19886
957	1356	19885
958	1357	19882
959	1359	19880
960	1360	19879
961	1362	19877
962	1363	19874
963	1364	19873
964	1366	19869
965	1367	19869
966	1369	19866
967	1370	19865
968	1371	19861
969	1373	19859
970	1374	19858
971	1375	19856
972	1377	19854
973	1378	19852
974	1380	19852
975	1381	19850
976	1383	19850
977	1384	19847
978	1385	19845
979	1387	19842
980	1388	19840
981	1389	19839
982	1391	19838
983	1392	19835
984	1393	19833
985	1395	19831
986	1396	19829
987	1398	19826
988	1399	19826
989	1400	19823
990	1402	19823
991	1403	19820
992	1405	19821
993	1406	19819
994	1408	19818
995	1409	19814
996	1410	19814
997	1412	19811
998	1413	19808
999	1414	19805
1000	1416	19804
1001	1417	19804
1002	1419	19804
1003	1420	19802
1004	1422	19802
1005	1423	19800
1006	1424	19799
1007	1426	19797
1008	1427	19796
1009	1428	19792
1010	1430	19792
1011	1431	19790
1012	1433	19791
1013	1434	19789
1014	1436	19787
1015	1437	19786
1016	1439	19786
1017	1440	19782
1018	1441	19780
1019	1443	19778
1020	1444	19778
1021	1445	19775
1022	1447	19773
1023	1448	19770
1024	1450	19771
1025	1451	19767
1026	1452	19765
1027	1454	19763
1028	1455	19760
1029	1456	19757
1030	1458	19755
1031	1459	19751
1032	1460	19748
1033	1461	19746
1034	1463	19744
1035	1464	19741
1036	1465	19739
1037	1467	19737
1038	1468	19736
1039	1470	19733
1040	1471	19734
1041	1473	19732
1042	1474	19731
1043	1475	19726
1044	1477	19725
1045	1478	19722
1046	1479	19720
1047	1481	19719
1048	1482	19721
1049	1485	19730
1050	1486	19731
1051	1488	19731
1052	1489	19731
1053	1491	19729
1054	1492	19731
1055	1494	19729
1056	1495	19731
1057	1497	19729
1058	1498	19727
1059	1499	19724
1060	1501	19723
1061	1502	19720
1062	1504	19719
1063	1505	19719
1064	1507	19718
1065	1508	19717
1066	1509	19714
1067	1511	19713
1068	1512	19710
1069	1513	19709
1070	1515	19706
1071	1516	19704
1072	1517	19700
1073	1519	19698
1074	1520	19696
1075	1522	19695
1076	1523	19691
1077	1524	19690
1078	1526	19688
1079	1527	19688
1080	1528	19685
1081	1530	19682
1082	1531	19679
1083	1532	19679
1084	1534	19677
1085	1535	19678
1086	1537	19674
1087	1538	19672
1088	1539	19669
1089	1541	19667
1090	1542	19663
1091	1543	19660
1092	1545	19658
1093	1546	19658
1094	1547	19656
1095	1549	19656
1096	1550	19655
1097	1552	19655
1098	1553	19653
1099	1555	19653
1100	1556	19651
1101	1558	19650
1102	1559	19649
1103	1560	19646
1104	1562	19643
1105	1563	19644
1106	1565	19642
1107	1566	19642
1108	1567	19639
1109	1569	19637
1110	1570	19634
1111	1572	19633
1112	1573	19634
1113	1575	19634
1114	1576	19631
1115	1577	19629
1116	1579	19633
1117	1581	19632
1118	1582	19634
1119	1584	19632
1120	1585	19630
1121	1587	19630
1122	1588	19630
1123	1589	19628
1124	1591	19627
1125	1592	19626
1126	1594	19625
1127	1595	19624
1128	1597	19622
1129	1598	19618
1130	1599	19619
1131	1601	19617
1132	1602	19616
1133	1604	19613
1134	1605	19612
1135	1606	19610
1136	1608	19612
1137	1610	19614
1138	1611	19614
1139	1613	19614
1140	1614	19615
1141	1616	19612
1142	1617	19610
1143	1619	19609
1144	1620	19613
1145	1622	19612
1146	1623	19612
1147	1625	19609
1148	1626	19608
1149	1627	19606
1150	1629	19604
1151	1630	19601
1152	1632	19600
1153	1633	19598
1154	1634	19597
1155	1636	19593
1156	1637	19591
1157	1638	19589
1158	1640	19589
1159	1641	19587
1160	1643	19585
1161	1644	19582
1162	1646	19584
1163	1647	19582
1164	1648	19579
1165	1650	19576
1166	1651	19574
1167	1652	19572
1168	1654	19572
1169	1655	19568
1170	1656	19565
1171	1658	19562
1172	1659	19562
1173	1660	19559
1174	1662	19559
1175	1663	19556
1176	1665	19554
1177	1666	19552
1178	1667	19553
1179	1669	19549
1180	1670	19547
1181	1671	19546
1182	1673	19545
1183	1674	19542
1184	1676	19540
1185	1677	19536
1186	1678	19534
1187	1680	19533
1188	1681	19532
1189	1682	19530
1190	1684	19529
1191	1685	19527
1192	1687	19526
1193	1688	19522
1194	1689	19521
1195	1691	19518
1196	1692	19517
1197	1693	19515
1198	1695	19514
1199	1696	19513
1200	1698	19513
1201	1699	19513
1202	1701	19514
1203	1702	19511
1204	1704	19510
1205	1705	19509
1206	1707	19507
1207	1708	19504
1208	1709	19502
1209	1711	19502
1210	1712	19503
1211	1714	19500
1212	1715	19498
1213	1716	19495
1214	1718	19494
1215	1719	19492
1216	1720	19490
1217	1722	19486
1218	1723	19484
1219	1725	19484
1220	1726	19486
1221	1727	19483
1222	1729	19482
1223	1730	19480
1224	1732	19478
1225	1733	19475
1226	1734	19474
1227	1736	19471
1228	1737	19470
1229	1739	19471
1230	1740	19469
1231	1742	19468
1232	1743	19470
1233	1745	19470
1234	1747	19471
1235	1748	19469
1236	1749	19470
1237	1751	19469
1238	1753	19470
1239	1754	19467
1240	1755	19467
1241	1757	19465
1242	1758	19465
1243	1760	19463
1244	1761	19463
1245	1763	19460
1246	1764	19459
1247	1765	19457
1248	1767	19455
1249	1768	19452
1250	1770	19454
1251	1771	19452
1252	1772	19452
1253	1774	19450
1254	1775	19448
1255	1777	19445
1256	1778	19443
1257	1779	19441
1258	1781	19439
1259	1782	19438
1260	1784	19437
1261	1785	19435
1262	1815	19746
1263	1816	19744
1264	1818	19742
