iter	Logloss
0	0.5265718047
1	0.4349174019
2	0.3893534627
3	0.360131964
4	0.3442421653
5	0.3316946603
6	0.3226483752
7	0.3146846958
8	0.3086108228
9	0.3041906824
10	0.3008974729
11	0.2977599244
12	0.2946692407
13	0.2926701899
14	0.2897277832
15	0.287967986
16	0.2851023
17	0.2826694302
18	0.2811937879
19	0.2795795361
20	0.2783075719
21	0.2772309843
22	0.2769838773
23	0.2751516062
24	0.2732748605
25	0.2730406008
26	0.2713028061
27	0.2699795383
28	0.2691463017
29	0.2690485387
30	0.2672989425
31	0.2657175984
32	0.2654504523
33	0.2638032286
34	0.2626666089
35	0.2624891374
36	0.2609292837
37	0.2593243366
38	0.2590540746
39	0.2588530427
40	0.2575218361
41	0.2558543812
42	0.2556154905
43	0.2546372634
44	0.2544943429
45	0.2526305726
46	0.2523883099
47	0.2517504712
48	0.2507932009
49	0.2493759049
50	0.2492249389
51	0.2490210473
52	0.2486773298
53	0.248446762
54	0.2483096249
55	0.248221252
56	0.2480146075
57	0.2477661986
58	0.2475629473
59	0.2473853691
60	0.2461389288
61	0.2453253899
62	0.2452482637
63	0.2447102367
64	0.2435043868
65	0.2434186602
66	0.2433726918
67	0.2432980411
68	0.242475603
69	0.2422995827
70	0.2416026082
71	0.2409802844
72	0.2408893505
73	0.2398030101
74	0.2397379415
75	0.2386850637
76	0.2384235302
77	0.2383622176
78	0.2379081459
79	0.2378483699
80	0.237702227
81	0.2376692552
82	0.2376084975
83	0.2368224457
84	0.2367996323
85	0.2366638184
86	0.2366295661
87	0.2366023991
88	0.2360313362
89	0.2360053643
90	0.2359800966
91	0.2359166072
92	0.2358646846
93	0.2357137827
94	0.2356521713
95	0.2356200532
96	0.2346744137
97	0.2335696347
98	0.2329578746
99	0.2329023028
100	0.2328816447
101	0.2317873441
102	0.2303029307
103	0.230269212
104	0.2302106097
105	0.2301810738
106	0.2301270385
107	0.2290368354
108	0.228812926
109	0.228053273
110	0.2269063883
111	0.2267686964
112	0.2267061247
113	0.2259530021
114	0.2256710026
115	0.2256399301
116	0.2254501236
117	0.2253991187
118	0.2250271244
119	0.2249687568
120	0.2247021655
121	0.2246505631
122	0.2238137625
123	0.2237952386
124	0.2237772908
125	0.2237622668
126	0.2237030029
127	0.2235784357
128	0.2233302403
129	0.2233123139
130	0.2232946436
131	0.2232779123
132	0.2232604127
133	0.223244535
134	0.2232126303
135	0.2224924794
136	0.2215102616
137	0.2213311469
138	0.2209219552
139	0.2205023492
140	0.2202636505
141	0.2202271788
142	0.2198913361
143	0.2198278894
144	0.2194014543
145	0.2192374276
146	0.2181023018
147	0.217956607
148	0.2178720754
149	0.2178646915
150	0.2178487924
151	0.2178416432
152	0.217826043
153	0.2167449311
154	0.2165466309
155	0.2163277579
156	0.2159199108
157	0.2154586685
158	0.2152851665
159	0.2148150677
160	0.2143824864
161	0.2135484389
162	0.2129735773
163	0.2125214263
164	0.2124571687
165	0.2123538571
166	0.2122024856
167	0.2115244832
168	0.2114947552
169	0.211217152
170	0.2109767674
171	0.2104182744
172	0.2103890799
173	0.2103609098
174	0.2103093501
175	0.209578166
176	0.2095673034
177	0.2095402644
178	0.2094614522
179	0.209337824
180	0.2093253823
181	0.2090932566
182	0.2084659603
183	0.2083298476
184	0.2081798633
185	0.208137907
186	0.2072659366
187	0.2072014655
188	0.2071075653
189	0.2066440822
190	0.2063415527
191	0.2063305621
192	0.2062671795
193	0.2061927209
194	0.206109235
195	0.2060962384
196	0.2049324943
197	0.2048982634
198	0.2039698888
199	0.2030734189
200	0.2025871224
201	0.2023642587
202	0.2019589297
203	0.2010638044
204	0.2009634805
205	0.2007249525
206	0.2007149223
207	0.2006254183
208	0.2003333672
209	0.1996045519
210	0.1991506083
211	0.1991392763
212	0.1990576897
213	0.1983050153
214	0.1982943448
215	0.1978526509
216	0.1975930381
217	0.1975046011
218	0.1972576435
219	0.1967661184
220	0.196070531
221	0.1956044444
222	0.1955169251
223	0.1950911942
224	0.1950803317
225	0.1950334669
226	0.1949459263
227	0.1942096417
228	0.1941816423
229	0.1941692219
230	0.1941582953
231	0.1937559328
232	0.1937437898
233	0.1937324577
234	0.1935260906
235	0.1928529326
236	0.1923904526
237	0.1921236478
238	0.1921128493
239	0.1915304544
240	0.1911679995
241	0.1911214762
242	0.1908658968
243	0.1905716903
244	0.1897949005
245	0.1894653534
246	0.1894547683
247	0.1894070072
248	0.189395291
249	0.1893847699
250	0.1893743342
251	0.1893638984
252	0.1892790254
253	0.1892688244
254	0.1889583561
255	0.1889463411
256	0.1888868639
257	0.1879267766
258	0.1879146976
259	0.1879034936
260	0.1878728907
261	0.1878493516
262	0.187309852
263	0.1872976023
264	0.1869969508
265	0.1869848291
266	0.1869237513
267	0.1868294242
268	0.1867016345
269	0.1857323493
270	0.1857032829
271	0.1856932313
272	0.185682945
273	0.1854173567
274	0.1854078173
275	0.185363236
276	0.185351968
277	0.1853414469
278	0.1853310752
279	0.1852610128
280	0.1852334616
281	0.1852238155
282	0.1852049501
283	0.1851953466
284	0.1850255579
285	0.1850160399
286	0.1850066498
287	0.1849639039
288	0.1848501139
289	0.1843831096
290	0.183652395
291	0.1836421086
292	0.1834135042
293	0.1828145914
294	0.1828040276
295	0.1822014015
296	0.1820692369
297	0.1814036549
298	0.1813112486
299	0.1811124788
300	0.1810739797
301	0.1802760198
302	0.18019279
303	0.180042571
304	0.1794339267
305	0.179301442
306	0.1791302874
307	0.1791070258
308	0.1790964407
309	0.179086197
310	0.1784339745
311	0.1782036201
312	0.1781944328
313	0.178184616
314	0.1780237798
315	0.1780144645
316	0.1779703954
317	0.1779354282
318	0.1779265504
319	0.1779174164
320	0.1779084639
321	0.1771207049
322	0.1767571509
323	0.1767419775
324	0.1767328969
325	0.1764920962
326	0.1764439083
327	0.1764288309
328	0.1764012157
329	0.1763915482
330	0.1763818808
331	0.1763718292
332	0.1763465294
333	0.1763365846
334	0.176326533
335	0.176317303
336	0.1763078703
337	0.1762981602
338	0.1760957518
339	0.176087162
340	0.1760523869
341	0.1760348874
342	0.1760262976
343	0.17589679
344	0.1758878695
345	0.1756923115
346	0.1756337413
347	0.1755488682
348	0.1755123218
349	0.1754385781
350	0.1753821526
351	0.1753444752
352	0.1752746795
353	0.1751967744
354	0.175163141
355	0.1750736157
356	0.1750655168
357	0.1747428947
358	0.1746977266
359	0.1745370291
360	0.1745287702
361	0.1742777898
362	0.1742340301
363	0.173487854
364	0.1734800752
365	0.1734717416
366	0.1727574275
367	0.172748635
368	0.1725415423
369	0.1720424839
370	0.1717040589
371	0.1716963335
372	0.1712333626
373	0.1712250183
374	0.1710967164
375	0.1710816177
376	0.1708263157
377	0.1706282609
378	0.1706198526
379	0.169889266
380	0.1698819461
381	0.1698750102
382	0.1694171612
383	0.1693955642
384	0.1693295566
385	0.1689481082
386	0.1688499184
387	0.1688126677
388	0.1687850099
389	0.1684565617
390	0.1684491564
391	0.1684212104
392	0.1684144774
393	0.1679787482
394	0.1679460432
395	0.167443965
396	0.1673941019
397	0.1673672123
398	0.1673601911
399	0.1673145001
400	0.1672309609
401	0.1668461726
402	0.1666343742
403	0.1666068337
404	0.1665621031
405	0.1665543349
406	0.1664639986
407	0.166442615
408	0.1661611063
409	0.165998851
410	0.1654914482
411	0.1650596565
412	0.1650207413
413	0.1646598122
414	0.1644691414
415	0.1643081132
416	0.1642735728
417	0.1641528576
418	0.163900266
419	0.1635528351
420	0.1634985224
421	0.163181577
422	0.1631690392
423	0.1623434854
424	0.1623356852
425	0.1623281305
426	0.1621537215
427	0.1620969866
428	0.1619731556
429	0.1619481974
430	0.1618917185
431	0.1618512987
432	0.1614766154
433	0.1608686754
434	0.1608457765
435	0.1605034675
436	0.160310908
437	0.159984594
438	0.1597631815
439	0.1597243516
440	0.1597174905
441	0.1596532862
442	0.1592723713
443	0.1592660757
444	0.1592483094
445	0.1590666017
446	0.1590600714
447	0.1588745544
448	0.1588359486
449	0.1587192029
450	0.158713174
451	0.1586909047
452	0.1584240253
453	0.1584060562
454	0.1583870308
455	0.1583807458
456	0.1582332584
457	0.1581073788
458	0.1581005176
459	0.1580947022
460	0.1579462545
461	0.1579401083
462	0.1579287229
463	0.1575416085
464	0.1573013626
465	0.1568213936
466	0.1566398354
467	0.1563732334
468	0.1558579665
469	0.1558493661
470	0.1558430172
471	0.1556722041
472	0.1555028102
473	0.1554970695
474	0.155479826
475	0.1553725769
476	0.1553590361
477	0.1553419633
478	0.1547858392
479	0.1543171062
480	0.1542959894
481	0.1542834089
482	0.1542646075
483	0.1542474173
484	0.1542077765
485	0.1540446035
486	0.153677795
487	0.1532856654
488	0.1526080578
489	0.1525856712
490	0.1524002502
491	0.1523513367
492	0.1523459268
493	0.1520165717
494	0.1518611454
495	0.1518356963
496	0.1518144514
497	0.1518092015
498	0.1517195802
499	0.1514018239
500	0.1513967874
501	0.151383396
502	0.1510140159
503	0.1510082325
504	0.15100326
505	0.1509914798
506	0.1509862513
507	0.1509814709
508	0.1509393545
509	0.1507205776
510	0.1507134177
511	0.1502528904
512	0.1502338329
513	0.1498798397
514	0.1493554069
515	0.1493322839
516	0.1491828972
517	0.1491781381
518	0.1488983474
519	0.148880261
520	0.1488684381
521	0.148863519
522	0.1484987592
523	0.1484939468
524	0.1484891451
525	0.1484793176
526	0.1478979044
527	0.1478837447
528	0.1475913948
529	0.1474920846
530	0.1472218974
